Year,Keyword_Flag_Proportion,Articles
Jul-18,0.24,24
Aug-18,0.47619047619047616,47.62
Sep-18,0.3541666666666667,35.42
Oct-18,0.24822695035460993,24.82
Nov-18,0.3469387755102041,34.69
Dec-18,0.25925925925925924,25.93
Jan-19,0.2857142857142857,28.57
Feb-19,0.42657342657342656,42.66
Mar-19,0.330188679,33.02
Apr-19,0.30994152046783624,30.99
May-19,0.36666666666666664,36.67
Jun-19,0.3333333333333333,33.33
Jul-19,0.34146341463414637,34.15
Aug-19,0.288135593,28.81
Sep-19,0.2717391304347826,27.17
Oct-19,0.32903225806451614,32.9
Nov-19,0.2857142857142857,28.57
Dec-19,0.175,17.5
Jan-20,0.3076923076923077,30.77
Feb-20,0.29285714285714287,29.29
Mar-20,0.21311475409836064,21.31
Apr-20,0.26881720430107525,26.88
May-20,0.3118279569892473,31.18
Jun-20,0.34615384615384615,34.62
Jul-20,0.4423076923076923,44.23
Aug-20,0.5,50
Sep-20,0.45454545454545453,45.45
Oct-20,0.3516483516483517,35.16
Nov-20,0.30526315789473685,30.53
Dec-20,0.29850746268656714,29.85
Jan-21,0.3333333333333333,33.33
Feb-21,0.43373493975903615,43.37
Mar-21,0.2753623188405797,27.54
Apr-21,0.2987012987012987,29.87
May-21,0.43010752688172044,43.01
Jun-21,0.5555555555555556,55.56
Jul-21,0.3684210526315789,36.84
Aug-21,0.34782608695652173,34.78
Sep-21,0.2191780821917808,21.92
Oct-21,0.33093525179856115,33.09
Nov-21,0.3617021276595745,36.17
Dec-21,0.30612244897959184,30.61
Jan-22,0.41975308641975306,41.98
Feb-22,0.49242424242424243,49.24
Mar-22,0.3918918918918919,39.19
Apr-22,0.36231884057971014,36.23
May-22,0.4473684210526316,44.74
Jun-22,0.3181818181818182,31.82
Jul-22,0.2857142857142857,28.57
Aug-22,0.28,28
Sep-22,0.35294117647058826,35.29
Oct-22,0.42857142857142855,42.86
Nov-22,0.2916666666666667,29.17
Dec-22,0.0625,6.25
Jan-23,0.4264705882352941,42.65
Feb-23,0.48717948717948717,48.72
Mar-23,0.41333333333333333,41.33
Apr-23,0.29591836734693877,29.59
May-23,0.43333333333333335,43.33
Jun-23,0.38461538461538464,38.46
Jul-23,0.48148148148148145,48.15
Aug-23,0.625,62.5
Sep-23,0.21052631578947367,21.05
Oct-23,0.5376344086021505,53.76
Nov-23,0.43333333333333335,43.33
Dec-23,0.45454545454545453,45.45
Jan-24,0.4186046511627907,41.86
Feb-24,0.5,50
Mar-24,0.5384615384615384,53.85
Apr-24,0.5679012345679012,56.79
May-24,0.5153846153846153,51.54
Jun-24,0.5789473684210527,57.89
