Section,Title,Date,Time,Authors,URL,Content
daily-stench,"Study Abroad Student Misses Memo, Shows Up 1 Week Early",19-Jan-18,2:04 PM,['Emily Anne Williams'],https://dailynexus.com/2018-01-19/study-abroad-student-misses-memo-shows-up-1-week-early/,"Sicheng Wang / Daily Nexus Morgan Sanders enjoyed her quarter in Italy so much that she didn't bother checking any emails from her home university. She was too busy posting selfies from coliseums to see the hundreds of zesty fire memes from her peers. Sanders returned to the U.S. feeling enlightened and refreshed, but she would soon pay for her insolence. On January 9, 2018, Sanders walked into Buchanan 1920, expecting to be welcomed to History 177: California History. She was surprised to find the lecture hall packed even though she arrived 15 minutes early. I remember a student next to me asked if I was nervous,ù Sanders recalled. I asked them if they thought it was going to be that difficult; I guess I should have clarified.ù  The TAs then handed out the exams, and the professor wrote the time remaining on the board. Still, Sanders remained clueless. I thought they were the syllabi, and maybe the professor just knew how much we all wanted to leave.ù It wasn't until she began flipping through the exam that she started to suspect that something was wrong. The test included essays about required readings and a multiple-choice section on Homer's The Odyssey. † That's when I got up and ran. I've seen The Simpsons, so I know Homer is from Illinois and not California.ù  Sanders hopes that by sharing her story, she will save others from enduring the same fate. † Emily Anne Williams is a third-year linguistics major that checks her umail religiously. 
"
daily-stench,Students in ESS Pre-major Prepare to Literally Jump Through Hoops,22-Jan-18,12:41 PM,['Clayton Alexander'],https://dailynexus.com/2018-01-22/students-in-ess-pre-major-prepare-to-literally-jump-through-hoops/,"Daily Nexus File Photo Many students in the Exercise Science & Sports Studies (ESS) pre-major have been working diligently these past few weeks to gear up for this week's final challenge, before ascending to the next level. They've been preparing, mostly, for the rigorous task of jumping through hoops in order to display their athletic prowess and drive to succeed in a cutthroat major. This is now the second consecutive year that this has taken place. ESS Director, Jim N√§s√¶m, says that since the new test was implemented, the major has been even more popular than before. I tell you whatù N√§s√¶m said, They all said I was crazy when I first introduced this new policy, but I just gave it to òem straight: at this school we like to challenge our students, whether it be in classes or having to wait 3 hours to get a bus pass, we want students who can overcome any obstacle. And if students have to metaphorically jump through hoops to get into their major, then why can't they also do it physically?ù While many complain about certain complications surrounding this task, others embrace it with open arms. Freshman student, Allison Chains, is eager to hop on the bandwagon, believing that this new system will be great to weed out those who lack the heart and/or dedication. Everyone who would sit at home and watch Ninja Warrior and was like òI could totally do that' it's time for you to square-up and put your money where your mouth is. I'll see you there, chumps!ù Chains declared proudly. N√§s√¶m hopes that many of the other departments will follow his example and start challenging their students more. Inspired by N√§s√¶m's bold strategy, Professors in the Department of Art are no longer allowing students to submit any works valued below 1,000 words. Anything below 999 won't be accepted and will be counted as zeroes. More on new department policies and the like to come soon. † Clayton Alexander is a senior communications major that is still waiting for Trial by Combatù to be an acceptable method when appealing for a grade change.
"
daily-stench,Sad! Thousands of New Year's Resolutions Left Abandoned on Streets of DP,23-Jan-18,4:20 AM,['Emma Demorest'],https://dailynexus.com/2018-01-23/sad-thousands-of-new-years-resolutions-left-abandoned-on-streets-of-dp/,"Alex Gonzalez / Daily Nexus Students and community members of Isla Vista this week are having trouble biking, driving and walking through the streets, where thousands of abandoned new year's resolutions have accumulated. The streets are littered with crumpled piles yesteryear, their contents torn to shreds and pushed into gutters alongside smashed cans of Bud Light. Sadly, this is an annual occurrence. UC Santa Barbara students, eager to change themselves for the better in light of a new year, hoard dozens of resolutions on January first. These resolutions are seemingly insurmountable for many IV residents, seeing as they cannot take care of or account for them even two weeks later, and lead to massive resolution abandonment come late January. The discarded resolutions have become such a problem this month that Isla Vista community officials are considering setting up strict resolution abandonment regulations in an effort beautify the community. Not uncommon for the first week back at school, it is easy to see the same resolutions hit the curb every year. Sorority Sally's spend less money on Starbucks frapsù is a classic, and this year was found laying torn and a little soggy in front of apartment complex dumpsters, as well as an upwards of two hundred unfulfilled go to the gymù resolutions, seen in tattered heaps on the curb of dog shit park. While on the scene, a Nexustentialism reporter even caught a young man eating a donut and tossing a crumpled up eat healthyù resolution from his bike, where it landed next to an unwrapped condom and a cigarette butt. Upon further inspection, identifying an abandoned resolution can tell a grim tale. Take the only use my juul on the weekendsù resolution, for example, found flattened and ran over on Abrego. Or the reference vines lessù resolution, discovered folded neatly beside the dumpster of I.V Deli.  Emma Demorest is a writing and literature major who's threw out her own new years resolution somewhere between the bike tunnel and Habits. Do not contact if found.
Print I can't believe that these snowflakes would consider litering their unfulfilled resolution besides a dumpster, yet alone inside of one. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
daily-stench,"Fuck It, I'm Rating the Birds",24-Jan-18,4:20 AM,['Ryan Watt'],https://dailynexus.com/2018-01-24/fuck-it-im-rating-the-birds/,"Look, I already have reading for two of my classes and these winged jerks have had it too good for too long. I'm out of ideas, so here's some birds I saw and rated. Take that, you hollow-boned jackasses. Courtesy of Wikipedia Okay, I swear to god these things decide to practice their shitty barbershop quartet outside my apartment window every morning. Look at him. Smug, prissy, always looking down on me. If this bird were a person, it would be that guy who goads you into talking about music at a party and then gives you guff because you haven't heard of that one obscure band he doesn't even actually like. You haven't heard Knife Hits? Oh dude you've gotta hear Knife Hits.ù Courtesy of Wikipedia The island scrub jay is the kind of person who charges you $2.03 on Venmo. Native to the Santa Cruz, the island scrub jay dragged its lethargic ass across a narrow land channel during the last glaciation period, and has been too lazy to move back ever since. Because of this, however, it's at least pooping on some rock instead of my car. Courtesy of sdakotabirds.com No. Courtesy of Wikipedia The harbinger of death in a pigeon sized package. I've never been superstitious, but every time I see a crow on the way to class I end up doing something embarrassing like trip while sitting down, or say bless youù when someone sneezes, but in this awful, Lord of the Rings, Gollum-style voice, so that the person who sneezed turns and gives me a funny look. But, technically, crows have never done anything to me personally. And, I once watched a documentary where a crow cracked open a nut. Courtesy of allaboutbirds.org You know when you're sitting in front of the Ucen and you see a bird just waltz on in and you think to yourself, he's got guts.ù That's this guy right here. Ranging in all shapes and sizes, from billiards ball, to really fat billiards ball, these things are a miracle of aviation. Plus, all I ever see them do is eat! Not only are they relatable, but they're an inspiration to us all. Courtesy of Wikipedia Okay who doesn't love ducks? If you don't love ducks, you probably also drink IPA's with pictures of bicycles or typewriters on the side and wear tee shirts that say things like Kaleù but in the Yale University font. These things come in all colors and are always the best character in every animated film they're featured in. Also, Jimmy Neutron's dad was really into them. Courtesy of allaboutbirds.org I honestly don't even think I've seen a sandpiper in real life, but the Disney short made me cry. Remember that? It was called Piper. † Ryan Watt is majoring in both film and English and still occasionally looks up how to spell cinemaù. 
"
daily-stench,New Chancellor Announced as Large Pile of Money Wearing Glasses,26-Jan-18,3:48 PM,['Ariana Marmolejo'],https://dailynexus.com/2018-01-26/new-chancellor-announced-as-large-pile-of-money-wearing-glasses/,"Clayton Alexander / Daily Nexus BREAKING î Early this morning, Chancellor Henry T. Yang announced that he was stepping down as Chancellor of UCSB and immediately named his successor. In a brief and unexpected statement, Ex-Chancellor Yang said, I'm done. I've worked tirelessly my entire career and all these idiot students do is make memes out of me.ù He refused to offer further information on his stepping down, but he did take the time to disclose the identity of his successor.  The next Chancellor of UCSB is to be A Large Pile of Money that has a pair of glasses on top of it. Yang did not have any more information to offer, but representatives of Chancellor Large Pile of Money released a statement saying, Chancellor Large Pile of Money is exactly what this school needs and will surely take advantage of.ù When inquiring about his past, representatives insisted he was qualified, but vehemently denied rumors that he was made from students' tuition dollars. A deeper investigation into his past is to follow. Chancellor Large Pile of Money has yet to make a personal statement or address the public, presumably because he is not sentient since he is a large pile of money. His glasses are prescription. It is also reported that each department has already taken to him remarkably well, with different deans all groveling at the door of his new office.  Upon writing this article, the Daily Nexus has received exclusive information that Chancellor Large Pile of Money was just seen by students being wheeled around in a red wagon during what looked like a tour of the new engineering building. One student who asked to remain anonymous said, I already heard them asking Chancellor Large Pile of Money about building another engineering building.ù When we asked the College of Letters and Science about this incident, they simply responded, Those fuckers.ù According to his representatives, Chancellor Large Pile of Money has a Ph.D from every Ivy League institution in this country, as well as a pair of polarized Ray-Ban aviator glasses for when he gets taken to the beach. Updates to follow on his transition and how he will represent this institution with the honor and respect it deserves.  † Ariana Marmolejo is a Daily Nexus staff writer and a huge supporter of Chancellor Large Pile of Money. 
Print Half-Baked idea from a person who is likely baked or otherwise thought-impaired 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
daily-stench,UCSB Accepts Record Number of Out-of-State Students to Pay for New Science Building,29-Jan-18,8:42 AM,['Mia Roncati'],https://dailynexus.com/2018-01-29/ucsb-accepts-record-number-of-out-of-state-students-to-pay-for-new-science-building/,"Jenny Luo / Daily Nexus A recent investigation into the UC Santa Barbara Admission Committee has revealed a drastic increase of out-of-state students that were not documented in the annual report of acceptance rates. Anna Barbers, a representative from the UC Board of Regents, found that over 5,000 students were found to have been marked as in-state admissions over 3 years. On average, an in-state UCSB student pays $15,000 a year for tuition, while an out-of-state student pays around $45,000. Barbers discovered that this extra $150,000,000 has been funneled to finish a bigger, fancier science building that is currently being built behind the Davidson Library. It's sick,ù Barbers reported, We all know that S.T.E.M. majors make more money than liberal arts majors by a large amount, but that doesn't mean the out-of-state students should fund this disadvantage.ù  Barbers equated the out-of-state and international students with cash cowsù that the school is milking for all they can. There are rumors that Chancellor Yang is behind this mistreatment to keep the science Nobel Prize winners satisfied and to continue to be invited to their annual ball.  This is not the first time the UC Admission Committee has been under fire in the past few years. The year that the Davidson Library was finished also shows a spike in out-of-state students admitted to the university, but still under the record of students admitted.  When questioned about the possibility of being admitted solely for her money, Florida native Amy Winters stated, It makes me feel like I wasn't admitted by my merits. I mean, I got a 2.7 in high school; I thought I had actually deserved my spot.ù Chancellor Yang has refused to make a statement on this issue. The building will continue construction, and rumors of regulations banning out-of-staters from entering have been discussed. † Mia Roncati is a third-year from New Jersey who once fought a UC Regent that was using her for her money.
Print i did not think you could get into UCSB with a 2.7 gpa. So maybe there is something to the story. This is satire You see a lot more Maserati's and Mercedes' around lately. Assuming this is satire? Although not very clear or funny.. The quotes just read like they were made up by a middle school student¶ 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
daily-stench,Nexustentialism to Shut Down After Some Girl Kaitlyn says Not Okayù,30-Jan-18,4:20 AM,['Sam Penn'],https://dailynexus.com/2018-01-30/nexustentialism-to-shut-down-after-some-girl-kaitlyn-says-not-okay/,"Jenny Luo / Daily Nexus Well, it happened. Nexustentialism is shutting down for good. The recent Thomas fire, which caused significant destruction south of Santa Barbara, proved excellent material for Nexustentialism. Many on-staff journalists ditched studying for finals completely in order to create hard-hitting, satirical, fire-related content and a blasphemous memory. Unfortunately, one article has come under fire after some girl Kaitlyn was sure to tell us in the comments below that this kind of content was not okayù.  The article titled All Final Exams Canceled Due to Power Outageù came as a shock to most UCSB students, who failed, yet again, to realize Nexustentialism had pulled another fast one.ù It landed in particularly bad taste with that girl Kaitlyn, who was sure to make her voice heard in the comments. You should all be ashamed of yourselves, I thought this was real. This is in bad taste. Nexus, Delete this article,ù Kaitlyn said. Not only did the Nexus comply immediately with her request, but decided that it would be best to just shut down Nexustentialism altogether.  I mean, what else could we do,ù said Nexustentialism Editor Erin Lubitz, If a member of the UCSB community hates our content and doesn't get the satire, it's only fair that we shut the section down completely.ù  The Nexustentialism staff is bummed out to have to shut its doors after being in circulation for the past 4 years, and hopes Kaitlyn knows that they're just pulling a fast one on her again. What can we say, it's satire.  † Sam Penn is a third-year economics major who has never farted or heard a joke. 
"
daily-stench,Nice! UCSB Introduces 10 Edgy Classes for Spring Quarter,1-Feb-18,4:20 AM,"['Jake Feder', 'Vianna Mabanag']",https://dailynexus.com/2018-02-01/top-10-ges-you-didnt-know-you-could-take-at-ucsb/,"Nexus File Photo Here it is! The long-awaited *super easy* GE course list from UCSB. Everyone and their Aunt Trish loves taking a nice, juicy general education course. It's a beautiful way to lighten the load of an otherwise shit-in-your-mouth kind of quarter. Crowd favorites like Theater 5 are sure to turn your frown upside down, but you should know that there are also several diamonds in the freaking rough that students seem to miss. Here they are in the form of a roughly medium-sized list so you don't lose focus. Also, it's ranked from ten to one to build suspense for you, the reader. You're welcome. 10. ANTH 00A ì Rural Farms of 68 Block Gain appreciation for the silent and rural community of 68 Block. Learn about its humble people, their roots in Amish culture and the main pastime of apple-picking.  9. INT 9000 ì Intro to Nicolas Cage Dive into the mind of Nicolas Cage. Drinks will not be provided. 8. ME 74H ì Mechanical Engineering: Physics of Mechanical Pencils  The core of mechanical engineering resides within the physical entity of mechanical pencils. Learn basic components such as how the most complex writing utensil is made, as well as its dependence on astrophysics. ***Graphing calculators needed*** 7. PHIL 420 ì Philosophy of Stepping Up, Kyle For one to truly know Kyle, he or she must first understand the epistemological and theoretical bases through which Kyle interfaces with the physical world. 6. FASH 101 ì Patagonia v. North Face: Popular Outerwear of UCSB Not to be confused with SOC 91 ì Birkenstocks v. Rainbows: A Divided Campus.  5. ASTRO 711Z ì Weirdly Spaced Onions in Your Ford Fiesta Discover the beginnings of an ancient tradition, how it took root in the West and your part in it. 4. HIST 96 ì History of UCSB Fiery Meme Cuisine for Horny Teens Learn which memes gained the most likes, and track statistics for how the page spiked in popularity during troubled times. Surprisingly will cover Area C! 3. COMM 8675309 ì Shutupdianeology It's well understood that Diane is a workplace headache. Learn to develop strategies aimed at eliminating the distraction that is Diane's big mouth. 2. FIERI 102BBC ì Shrimp Scampi Unearth the genesis of this all-time dish, question its whereabouts and unpack its problematic stance on immigration.  1. SOC 296 ì Chancellor Yang's (Extended) Family Tree  Knowing where our great leader comes from will give us more insight toward the secrets of the universe. *Winter quarter bonus!* No add code needed to access Henry's great maternal second cousin's line.  † Jake Feder and Vianna Mabanag took all these classes and passed with easy A's. 
"
daily-stench,"Things Hieu Le Should Spend His $3,000 Honorarium on Instead of Increasing Student Fees",2-Feb-18,4:20 PM,['Ollie Tabooger'],https://dailynexus.com/2018-02-02/things-hieu-le-should-spend-his-3000-honorarium-on-instead-of-increasing-student-fees/,"A.S. President Hieu Le addressed the Senate at Wednesday night's meeting, detailing his plan for success. Daily Nexus / Kaitlyn Nguyen On Wednesday, Jan. 31, Associated Students (A.S.) President Hieu Le proposed a plan to complete an expansion project of A.S. and the University Center. The problem? Well, you see, he hasn't said much before about this project, probably due to the fact that the project would require a student fee increase that could reach as high as $300 a year starting in five years. For now, it would require a $20 increase per student per quarter. That's a 10 percent increase!  It is presumed that graduating senior Le didn't boast about this 48 million dollar project beforehand, probably due to the fact that he ran his campaign on a promise to lower student fees. To pull quotes directly from the A.S. website, Le's plan included what he dubbed, GauchoServe,ù where he promised, I will work to lower your fees.ù Additionally, he wanted to RECLAIM Higher Ed,ù where students would say, NO MORE!ù and Le would launch a campaign to, RECLAIM the cost of your education.ù Le also proclaimed, No more exclusive A.S.ù†Try not to lose sight of this last claim with this plan, though, because part of the UCen renovation would serve to revamp study spaces to house the 38 percent of A.S. who don't have an *officially assigned* office space.  While we really do love our A.S. President, we do think it's appropriate to poke fun at some good old-fashioned political fuck-ups every now and again. Sorry Hieu, it just comes with the territory! So here's what we propose: Currently, the A.S. President gets their tuition paid while in office, in addition to a $3,000 honorarium each quarter, so if President Le really wants to improve our campus without raising student fees, he can take some of our suggestions on where to donate some of that nice honorarium, too! 1. Buy $9,000 worth of duct tape to hold together the remaining humanities buildings Look, we know all the money here goes to Engineering and S.T.E.M. buildings. The least A.S. can do is hold together the scraps of the remaining humanities buildings to please the plebeians studying to make a social difference in society,ù get into governmentù and even to become teachers.ù I know î it's not like those jobs really make a difference in the world, but we at least have to support that part of our campus. 2. Replace all the forks in dining commons with platinum utensils Because why the hell not if you already have a $48 million budget for a resume builder? It's the more stylish way to transfer hepatitis from student to student. 3. Painting over that creepy fucking mural inside of Ortega It's horrifying and ruins students' appetites. If you really care about your community, you'll paint over it. It honestly probably wouldn't even cost that much. 4. Building a small train from I.V. to Chem 1179 Self explanatory. Life is rough sometimes. 5. Funding Campus United's ridiculous campaign budget You don't need your ridiculous marketing plans, aggressive tabling or even CU-chella, because realistically who else are people even going to vote for? You're basically the only party. You just don't need to spend that much money, but if you must, you might as well dip into that honorarium stash to do so! 6. Building a box fort outside of UCen for remaining 38 percent of A.S. There's your precious office space. It's not like anyone is going to go to your office hours anyways.  Ollie Tabooger is a political science and theater double major who loves the musical Hamilton for obvious reasons.
Print Ollie thought this would blow up but no one is even commenting lol 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
daily-stench,White Girl's Semester Abroad Didn't Totally Change Her Life,5-Feb-18,2:18 PM,['Mia Roncati'],https://dailynexus.com/2018-02-05/white-girls-semester-abroad-didnt-totally-change-her-life/,"Courtesy of Mia Roncati Shocking news arrived from a small suburb outside Los Angeles as UCEAP student, Angela Darwin, returned home from her semester abroad in Paris, France. Unlike most participants, Darwin didn't return home harboring any souvenirs for family, scenic Instagram photos, or even a word of French slang. Additionally, Darwin's family reported that she came home completely unchangedù and acted as if she had spent the semester, as usual, at UCSBì not in the beautiful city of Paris (pronounced Par-ee).  When questioned about her five months in Europe, she was quoted as saying, It wasn't that big of a deal. The Eiffel Tower is basically a triangular Storke Tower, and I can get a croissant from Caj√©.ù  She reportedly threw out all the trinkets she had bought as soon as she arrived back in California (including an Eiffel Tower keychain and old macaroons that had never been opened) and erased all the numbers from foreign friends she had met. I was hoping she would come home more independent and mature after spending her time travelling and living on her own, but she is still not cleaning her room and spends all her time talking to her best friend Tiffany about shoes and boys,ù said Tammy Darwin, her mother.  Her sister, Julia, also a UCEAP alumni, was also confused as to why her sister wasn't telling them many stories about her recent abroad adventure. When I was abroad in Londonîthat's in England you knowîI totally loved, like, every minute of it. I came home a new, cultured woman who felt at least ten years older. Oops, gotta go! My tea is burning in the kettle, cheerio!ù said her sister. Darwin will be seeing a psychologist at the request of her mother and sister to see if she suffers from a diagnosable condition.  † Mia Roncati wishes she was still abroad and can't believe she has to rejoin you plebeians this quarter.
"
