Section,Title,Date,Time,Authors,URL,Content
games,Crucigrama del d­a,10-Oct-23,8:00 AM,"['Mari Villalpando-Ortega', 'Angelica Monroy', 'Siddharth Chattoraj']",https://dailynexus.com/2023-10-10/crucigrama-del-dia/,"
HORIZONTALES



2. Palabra abreviada para decir pap¡


6. Evento cuando los padrinos avientan dinero en los bautizos


7. Nombre propio que rima con ""firma""


10. Se le dice asi cuando haces algo malo ante dios


11. Insignia que tambi©n significa un objeto hecha para proteger el cuerpo de golpes


13. Se le dice as­ a una mujer que sea muy cercana a ti afectivamente, T­tulo de una canci³n famosa de Luismi.


14. Le haces esto al pollo cuando cocinas antes de preparar


15. Moverse de un lugar hacia otro apartado


16. Insecto largo con muchas patas


18. La primera palabra de una de las ciudades m¡s conocidas de Brasil




VERTICALES



1. Frase que se dice al esquivar un toro con una capa en las torerias


3. Versi³n m¡s peque±a de una roca


4. Fen³meno que ocurre despu©s de la lluvia con un poco de sol


5. Grupo de mºsicos que hacen serenatas


6. Lo tomas para calmar la sed


8. Palabra coloquial para referirse a mam¡


9. Lugar t­pico en una colonia para poner una tiendita


10. ""Tch mmm ___""


12. La parte f­sica de un ser


17. Una forma del tiempo presente de ser



 Â¿Sab­as que? Las crucigramas en espa±ol se forman de manera diferente a las de ingl©s. En espa±ol se usa la estructura libre mientras que en ingl©s se usa la forma de simetr­a rotacional. Si le das vuelta 180Âº a un crucigrama en ingl©s se mirar­a igual. Lo hacen as­ para atraer a la audiencia con su simetr­a en los Estados Unidos, India y el Reino Unido. Aviso: Las respuestas son en espanol. Para el proposito de este crucigrama ignora los acentos. 
"
games,The Daily Nexus Crossword 10/26,26-Oct-23,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2023-10-26/the-daily-nexus-crossword-10-26/,"
ACROSS



1. ""All ______!"" - Mr. Conductor (""Dinosaur Train"")


5. ""______ is the word"" (Lyric recorded by Frankie Valli)


10. Quarrel is from the Cayman _______ (""James Bond"")


11. Rita Skeeter, James Potter, Sirius Black, Wormtail, Talbott Winger and Minerva McGonagall


12. Said while throwing paper into a trash bin


13. _____ & dangerous


15. Master ____


17. Ragetti only has one of this (""Pirates of the Caribbean"")


19. Cellist


21. Disneyland landmark


22. ""_______ Cinderella Story""


23. ""Phantom: ______ Ops""


25. ______ is the new black


28. Joan of ___


30. Club of fairies that attended Alfea


31. ""Dhoom 2"" main antagonist's first name


32. Bitsy spider


35. What L.B. 'Jeff' Jefferies did every day (""Rear Window"")


36. Jack-Jack (""The Incredibles"") or Boo (""Monsters, Inc."")


37. Yellow legendary Pok©mon


38. ""Dhoom 2"" main antagonist actor




DOWN



2. Donnie Dion's role with the Wildcats (""High School Musical 3: Senior Year"") 


3. ____ Hathaway


4. Streetcar line that ran through New Orleans' French Quarter until 1948


5. Tony Stark's facial hair (""Iron Man"")


6. Good and ____


7. Color of Hester Prynne's punishment


8. Mouse who owns a clubhouse


9. Married to the mouse who owns a clubhouse


14. Adam Sandler's Murder _______


16. Adjective to describe Gabriella Montez (""High School Musical"")


18. Member of popular boy band


20. ___man


21. Zuckerberg's job (""The Social Network"")


23. Woody (""Toy Story"")


24. Ferb's lover (""Phineas and Ferb"")


26. ""Stranger Things"" actor 


27. ""Winnie the Pooh"" character


28. ""Pok©mon Legends"" game


29. Famous basketball movie coach


33. ____ Pitt


34. ""And may the ____ be ever in your favor"" - Effie Trinket (""The Hunger Games"")




"
games,The Daily Nexus Crossword 11/2,2-Nov-23,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2023-11-02/the-daily-nexus-crossword-11-2/,"
ACROSS



1. Large wildcats that cannot roar


5. 7 on the Mohs Scale


10. ""A beating heart of stone / You gotta be so cold / To make it in this world"" - Imagine Dragons


11. Wooper


12. ____ Street, U.S.A.


13. Outer space prefix


15. E.g. arm


17. Food for livestock


19. Its volume is (4/3)Ï€r^3


21. Back fin


22. Ebonies' counterpart


23. Bears pear-like fruit


25. Cloud of gas and dust in outer space


28. Turf


30. Military soldier's duty


31. Pandora's Box, Ragnar¶k, Ramayana, etc.


32. Chris Christie's final question at the first 2024 Republican Primary debate


35. No.5 most populous city in Nebraska; UCSB English teacher


36. Quality sought in mutual relationships


37. Strange and unusual


38. 1588 Spanish ______




DOWN



2. Largest living bird


3. Greek dish usually consisting of roasted lamb, chicken, pork or beef


4. Green hot dog condiment


5. Owen, Merrick and the Skarloey Railway engines' workplace 


6. Made up of protons, neutrons and electrons


7. Cancer and Capricorn


8. Sherlock ______ (Hint: Not ""Holmes"")


9. Warming


14. Carrot, radish, turnip, beet, etc. 


16. $19.99


18. First date flowers


20. Before All Saints' Day, Christmas Day and New Year's Day


21. Where does the fox live?


23. Australian marsupial; commonly approaches humans


24. Last names in this country usually end with ""-son"" or ""-d³ttir""


26. Defensive linemen's goal is to rush _______


27. Portfolio pieces with value


28. The sun, moon and Earth in a nearly straight line


29. The nature of reality


33. ""It must be exhausting always rooting for the ____-hero"" - Taylor Swift


34. Embedded chip for mobile connectivity, briefly




Print There are some online and remote jobs that are completely real and pay you a decent amount of money in exchange for your work. However, there are also many scams that pose as legitimate online jobs, as well as real jobs thatÂ payÂ so little that they may not be worth your time and effort. xk We provide you with the best path, so these are the best ways to develop your career.Â 
Follow here¦¦¦Â https://realonlinesjobs.blogspot.com 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 11/9,9-Nov-23,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2023-11-09/the-daily-nexus-crossword-11-9/,"
ACROSS



1. Can hold water


5. Romantic and glowing


10. Artistic movement emphasizing accurate representation


11. Magical creature with one horn


12. To interlace yarn or thread in a series of loops with needles


13. Collection of maps


15. 39 (San Francisco)


17. Large, hairy type of cattle or ox


19. 0% milk


21. ""A dinosaur from our imagination""


22. Natural examples include wool and silk and synthetic examples include nylon and polyester


23. ______ Hollow


25. Razzle ______


28. Sigma


30. Can be produced in a canyon


31. Sweet-tasting carbohydrate


32. Final resting place of the Unknown Solider


35. Sine divided by cosine


36. Twice as many


37. Political campaign motto


38. Fulfills a financial obligation




DOWN



2. Form of appreciation or applause


3. A journey where you visit somewhere and return afterward


4. Open hostility


5. High-pitched sound made by mice and chipmunks


6. Crime drama genre, e.g. that of ""[5 Across] Boulevard""


7. Breaking down of rocks by natural forces, e.g. wind and water


8. Heart______ or ______-hearted


9. Types include chemical, thermal, nuclear, etc.


14. Coccinellidae


16. Overly sentimental or romantic


18. 200 milligrams


20. E.g. Woody, Buzz Lightyear, Mr. Potato Head, etc.


21. If you are [23 Across], you should go to this


23. Blade covering


24. Alcohol with two carbon atoms


26. UCSB EEMB major concerning animal life


27. To express or personify


28. Head of State of Oman


29. One who sacrifices their life for a cause or belief


33. Short for ""iceberg""


34. ____ d'etat




"
games,The Daily Nexus Crossword 11/16,16-Nov-23,8:00 AM,"['Siddharth Chattoraj', 'Angelina Song']",https://dailynexus.com/2023-11-16/the-daily-nexus-crossword-11-16/,"
ACROSS



1. Talks tediously


5. Last day of the week


10. To grasp the truth, finally


11. New character in ""Inside Out 2""


12. UCSB major concerning the study of scarcity and the distribution, consumption and production of goods and services, for short


13. ""James and the _____ Peach"" (Roald Dahl story)


15. Type of science that certain UCSB majors study


17. Broadcast television and radio network owned by Paramount


19. To take in or soak up


21. ""The ______ Trap"" (Disney film)


22. Microsoft email service


23. ""______ Night"" (Christmas song)


25. Final word in the name of UCSB's newest minor


28. ""Oh I like to ___, [x3] aaples and bananays"" (Song lyric)


30. Holds a broken bone in place


31. UCSB major concerning the study of the mind, for short


32. From or at a great distance


35. ""_______ Flame"" (Song by The Bangles)


36. First step in the scientific method


37. Great respect or admiration


38. Great distress




DOWN



2. ""A Million _______"" (Lady Gaga song)


3. ""Orientalism"" author


4. Picturesque


5. Dirty marks on clothes


6. Immediately afterward


7. The sum of all elements divided by the total number of elements


8. UCSB's take-out dining hall


9. Cruel or oppressive ruler 


14. Natural skill


16. Remote-controlled aircraft


18. Not single


20. Coordinating connection expressing contrast


21. A small group of people clustered together


23. Holy


24. What a good spouse does when you are upset


26. Type of legendary dragon in Clash Royale


27. People who care for the sick


28. Where Monsieur D'Arque tries to lock up Maurice (""Beauty and the Beast"")


29. They repeat whatever you say


33. ____ upon a time


34. The ""U"" in UX/UI




"
games,The Daily Nexus Crossword 11/30,30-Nov-23,8:00 AM,"['Angelina Song', 'Siddharth Chattoraj']",https://dailynexus.com/2023-11-30/the-daily-nexus-crossword-11-30/,"
ACROSS



1. Blooms in the spring, wilts in the winter


5. Intention to do evil


10. ""O"" in OSH (former hardware store)


11. Expect _______ (elementary school club)


12. Cunning plan


13. _____ dreams; to be aware of dreaming


15. Given on a special day


17. What Luke is to Darth Vader


19. ""______, I've been, I've been losing sleep""


21. Middle Age architecture style


22. Hiltner, Gallucci, Kharitonova, etc.


23. Pail


25. Mother ______


28. Limb on the side of the human body


30. A small metric unit of measurement


31. To change


32. French twist, classic bun, messy bun, etc.


35. Great basketball dribbling skills


36. Member of the Japanese warrior class


37. Greek goddess of wisdom and warfare


38. Yoplait, Chobani, Oikos, etc.




DOWN



2. 1995, 1996, 1998-99 and 2011 (NBA)


3. $14.95 spinach or wheat option at Hummus Republic


4. Ï€______Â²


5. Camelot wizard


6. [a, b, c] in Python


7. To hold dear


8. To force


9. White noise on the television


14. Lotte Lehmann _______ Hall


16. German museum built by the order of King Frederick William III


18. Type of ape NFT


20. ""Y"" in F.A.N.B.O.Y.S


21. Python method that returns the value of a key in a dictionary


23. Luminous


24. ""_______ Crack"" (children's game)


26. Naruhito's title


27. Hottest Wingstop wings


28. Largest American state


29. Very small or few


33. To run, to escape


34. Smoke fog




"
games,The Daily Nexus Crossword 1/18,18-Jan-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-01-18/the-daily-nexus-crossword-1-18/,"
ACROSS



1. Relating to verse, often beautifully expressive


5. ______ Bell


10. Flat distribution


11. Confection of nuts and sugar


12. What people do in pools


13. Intentionally burning property


15. To furnish, usually with the expectation of return


17. Caesar in ""War for the Planet of the Apes""


19. E.g. ""Home Alone"" burglars


21. Eloquent speaker


22. UCSB's official news site


23. A fine strand used in sewing or weaving


25. Financial arrangement where a third party holds funds during a transaction


28. Aladdin's alter ego


30. Mischievous, small sprite


31. Evil demon


32. JavaScript Object Notation


35. Formally reject or deny


36. Legendary Clash Royale dragon


37. ______ Night (Vincent van Gogh painting)


38. Makes up one atom of water




DOWN



2. Daily Nexus section which allows members of the community to submit an article


3. High School Musical's Gabriella's boyfriend


4. Captures moments


5. To walk quietly


6. Not far


7. Obvious


8. Daily celestial event marking the end of the day


9. Usually has followers


14. Shine with bright, shimmering, reflected light


16. Coffee with very little caffeine William III


18. Creatively inclined, often found in bohemian circles


20. Wet, soft earth often found after rain


21. Number of cards a player has when they say ""Uno""


23. Three parts


24. To store


26. Place for wildlife conservation


27. ""Rear ______"" (Alfred Hitchcock film)


28. Respiratory tract


29. Sixth color of the rainbow


33. At all times


34. Uncertain (informal)




"
games,The Daily Nexus Crossword 1/25,25-Jan-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-01-25/the-daily-nexus-crossword-1-25/,"
ACROSS



1. Quantity or total


5. ""Dennis the ______"" 


10. Type of illegal trading


11. Name of USC's sports teams


12. Santa's list for good children


13. Opposite of ""exit""


15. Brand of small cars with two seats and four doors


17. Juniper-based spirit


19. Coldplay song that doubles as a color


21. Most bikers at UCSB do not wear this piece of equipment


22. E.g. Pollock and Hatlen


23. Third largest island on Earth


25. ""Jack be ______, Jack be quick, Jack jump over the candle-stick.""


28. The trigonometric function representing the ratio of the length of the opposite side to the length of the hypotenuse in a right-angled triangle, abbreviated


30. Lively dance party with electronic music


31. Eggs and _____


32. Runny nose output


35. Name of the tennis center near the UCSB Recreation Center


36. 1971 John Lennon album


37. ""Pop goes the _____""


38. Typically made of gold or chicken




DOWN



2. For example, ""Beauty and the Beast,"" ""Aladdin"" and ""The Little Mermaid""


3. Ctrl + Z


4. Exhausting or draining


5. Glove for the cold


6. Chemical element with an atomic number of 10


7.  Skull


8. Home of Mickey and Minnie


9. John Stockton is the NBA's all-time leader in this basketball action


14. Ship that sunk at about 2:20 a.m.


16. ""_____ California""


18. Frightening or weird


20. ""Doctor ___"" (science fiction television series)


21. Mother of a chick


23. Government agency, usually with a specific purview


24. Payback or retaliation


26. Large outdoor blaze for celebrations


27. Regard or respect


28. Open-toed summer footwear


29. Web application for note-taking and organization


33. Hugo ____ (clothing brand)


34. Onomatopoeia for a collision




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Crossword 2/01,1-Feb-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-02-01/the-daily-nexus-crossword-2-1/,"
ACROSS



1. Comic book publisher owned by Disney 


5. To reexamine and change


10. Deviates from what is standard, normal or expected


11. Clothing and lifestyle brand whose logo is red with white text in italics


12. Split first by John Cockcroft and Ernest Walton


13. Five-time NBA champions


15. Super Mario ____


17. Finn McMissile's job


19. Opposite of ""nobody""


21. For example, the rule that you have to be home after 9 p.m. on school nights


22. Requirement for eligibility to play NCAA Division I or Division II sports


23. Small, casual eatery


25. Short journey for a specific task


28. Grade school association that aims to bring parents and teachers together to improve learning for children (abbr.)


30. Country whose capital is Baghdad 


31. Upside-down equilateral triangle traffic sign


32. Octagonal traffic sign


35. The Elder Wand, the Resurrection Stone and the Cloak of Invisibility


36. Colloquial term for prison


37. 5 + 6 · 2 — 5


38. Grown people




DOWN



2. Saying ""Sorry!""


3. Small container for liquids


4. Basketball shots made near the basket, especially one that rebounds (pl.)


5. Meditative prayer that honors the Virgin Mary


6. Type of electronic cigarette


7. Bill Brown's job in Santa Barbara County 


8. A minion's favorite food


9. Children's playground teeter-totter


14. Northern part of a state, especially in New York 


16. Trap or drum type


18. To rush


20. Genre of rock music originating in Washington D.C.


21. Signal for lighting or sound change in a play


23. Intelligent


24. Song by Bradley Cooper and Lady Gaga


26. Effort to achieve a task or goal


27. To leave or exit


28. Outdoor, enclosed space for raising pigs


29. Largest U.S. state by area


33. ____ Lennon


34. Famous basketball player who won Sixth Man of the Year while playing for [13 Across]




Print  Î”  Î” 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
games,The Daily Nexus Valentine's Crossword 2/08,8-Feb-24,8:00 AM,['Siddharth Chattoraj'],https://dailynexus.com/2024-02-08/the-daily-nexus-valentines-day-crossword-2-08-2024/,"
ACROSS



1. Bite-sized HERSHEY'S Chocolate pieces


5. Treat frequently given as a gift; examples include sandesh and kaju katli


10. John Tyree _______ in the military but falls in love with Sarah when on home on leave, so they exchange letters


11. After a couple breaks up, one may seize an _______ to start a relationship with one of them


12. Frequently tossed at weddings to wish the married couple prosperity and fertility


13. Tranquility in a relationship


15. Sigyn's husband


17. Acronym sent over text by your partner when they are jokingly embarrassed


19. Type of literature filled with witty critiques of romantic follies


21. The final chapter of a romance novel


22. Typically done on a first date by bringing flowers, dressing nicely and paying, to name a few


23. Traditional groom attire


25. Religious place where married couples seek blessings after the wedding


28. Flik and Atta are in love in ""A ___'s Life""


30. Couples frequently describe their partner's as their ____


31. Birdo's lover


32. Ike Turner's ex-wife


35. Maroon 5 song about a strong, obsessive physical attraction


36. Pulling out your guitar and singing at the top of your voice to impress your girlfriend


37. Song by The Chainsmokers about pulling your lover ______


38. Job-hunting site; not a dating site




DOWN



2. Forbidden love


3. Emperor Franz Joseph I's wife


4. Bridal accessories worn over the shoulder (pl.)


5. Playful kiss


6. Mathematical parity of a couple


7. Capital of Libya, which has a minimum age of 20 for marriage


8. Symbol of love (pl.); frequently used as a candy shape


9. To stare or gawk with [14 Down] intentions


14. Expressing or feeling sexual desire


16. Self-conscious emotion that can cause a relationship to disintegrate


18. The _____ of the [21 Across] is typically marked by consistent arguments and fights


20. Romantically melancholic punk music genre


21. The time zone your long-distance partner who is three hours ahead of you is in


23. If your partner threatens divorce, your relationship is hanging together by a ______


24. Actress playing Marvel's first Latin-American lesbian superhero


26. Moments difficult to experience when living with your spouse at your parents' house


27. To be full of love and admiration for


28. Princess Peach's lover and captor


29. Howl and Sophie fall in love in ""Howl's Moving Castle"" ” a film produced by this studio


33. The message your high school crush who doesn't like you back writes on your yearbook


34. Traditionally, suitors used to ask the potential bride's father for her ____ in marriage




Print  Î”  Î” 0/10 for this one Siddharth, love loses this Valentine's Day 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
