Section,Title,Date,Time,Authors,URL,Content
photo,In Photos: 33rd Santa Barbara International Film Festival,9-Feb-18,2:42 PM,['Daily Nexus Photography'],https://dailynexus.com/2018-02-09/in-photos-33rd-santa-barbara-international-film-festival/,"Celebrities and media flocked to the Arlington Theatre as the 33rd Annual Santa Barbara International Film Festival hit the red carpet. Big names like Willem Dafoe, Margot Robbie and Gary Oldman came to accept their honorees and awards, while directors and producers alike gathered for exclusive interviews. With movie premiers happening everyday for almost a week, the event drew large crowds from all over the world. Photos by Daily Nexus Photographers † Willem Dafoe received the Cinema Vanguard Award this year for his role in ""The Florida Project.""ù Siavash Ghadiri / Daily Nexus † Gary Oldman attends as an Honoree of the SBIFF Modern Master Award. Cameron Hsieh / Daily Nexus † Saoirse Ronan receives the Santa Barbara Award for her role in ""Lady Bird.""ù† Dafan Huang / Daily Nexus † Allison Janney works the red carpet as she and ""I, Tonya""ù co-star Margot Robbie are honored with SBIFF Outstanding Performers of the Year Award. Lianna Nakashima / Daily Nexus † Nominees curiously examine their trophies after the prize-awarding. Sicheng Wang / Daily Nexus † Jordan Peele, one of the Honorees for the SBIFF Outstanding Directors of the Year Award, chats with moderator Scott Feinberg about his recent film,†""Get Out.""ù Andrea Verdugo / Daily Nexus † Brian Baumgartner is interviewed while walking down the red carpet. Harvest Keeney / Daily Nexus † From left to right, Rachele Schank, Brian Baumgartner, Luke Brandon Field and Anthony Sabet pose for a photo. They starred together in the new romantic comedy, ""One Last Night.""ù Harvest Keeney / Daily Nexus † Emilio Estevez and Brewmaster Tim Crooks attend the after party of Opening Night for SBIFF, where Estevez premiered ""The Public.""ù† Katelyn Zamudio / Daily Nexus † Allison Janney and Margot Robbie chat about their roles in ""I, Tonya.""ù Lianna Nakashima / Daily Nexus
Print Allison Janney and Margot Robbie chat about their roles in ""I, Tonya.""ù Lianna Nakashima / Daily Nexus Comments are closed. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
photo,In Photos: Daily Nexus Winter Festival,1-Mar-18,3:43 PM,['Daily Nexus Photography'],https://dailynexus.com/2018-03-01/in-photos-daily-nexus-winter-festival/,"The Daily Nexus Winter Festival offered students a breather from midterms and moody weather. Live entertainment courtesy of Milk Drunk and Ned Flangers and Jordan Mitchell rocked Storke Tower, while Nexus†artists drew free caricatures and henna tattoos. Festival goers were also able to get a taste of Woodstock's pizza, while taking pictures and soaking up Nexus culture. Photos by Daily Nexus Photographers. Will Tran / Daily Nexus † A photo frame circulated around, offering a pretty border to document the event. Will Tran / Daily Nexus † Peyton Stotelymyre draws a caricature of a festival attendee. Will Tran / Daily Nexus † KCSB attended the festival, selling merchandise and promoting their annual Fund Drive. Will Tran / Daily Nexus † Carson Capps and Dylan Lyman of Ned Flangers rocks Storke Plaza with throwback hits and some of their own originals. Lianna Nakashima / Daily Nexus † Lianna Nakashima / Daily Nexus † Students watch live performances by some of UCSB's artists. Lianna Nakashima / Daily Nexus Comments are closed. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
photo,Campus Comment:Students Perspective on Finals Week,17-Apr-18,1:31 AM,['Daily Nexus Photography'],https://dailynexus.com/2018-04-17/campus-commentstudents-perspective-on-finals-week/," The Daily Nexus is excited to announce the revival of Campus Comment! Campus Comment was originally a short column in the print paper with student commentary about campus life and Isla Vista. Today, the section will similarly feature perspectives from UC Santa Barbara students as they make their way through life at UCSB. Here's how these UCSB students deal with the stress that came with finals week of Winter Quarter, juggling academics and their own mental health. ""I rarely get over-stressed, and that's probably because I always give a good amount of time to dance. By allowing myself time to get out of the chair, out of my head and into my whole body, my time spent dancing feels almost meditative. I'm able to take a step (or lots of steps) back and clear my mind through exerting myself to the physical limit. I can tell myself that if I can Break, there's nothing I cannot do.""ù -Kai Goh, Third Year, Film and Media Studies MajorPhoto by Lianna Nakashima, Daily Nexus † ""Dance challenges me to face the work and struggle of a process rather than shy away from it. It pushes me out of my comfort zone to find value and pleasure in not knowing and having to explore. What a liberation to realize that the voice in my head is not who I am.""ù -Paris Cullen, Fourth Year, Dance and Psychology Double MajorPhoto by Lianna Nakashima † ""When I think of ""òstress', the first word that comes to mind is ""òanxiety'. The two coexist for many people and personally, I've never been the best at handling stress. I tend to over commit myself until my plate of responsibilities is completely full. I think keeping yourself busy is healthy in the sense that it forces you to perfect your time management skills. But I also believe that in perfecting those skills, the stress and anxiety that comes with having a lot of responsibilities can sometimes be overwhelming. I am a double major, with two jobs, sorority demands and I still manage to make my mental health a priority. It's all about your headspace and finding out ways to relax. For me, it's walking to and from school, going to the beach, and reading every night before bed.""ù -Kalena Cortez, Fourth Year, Biological Anthropology and Dance Double MajorPhoto by Lianna Nakashima † ""Sometimes I really kick myself over-stressing, so I have a lot of ways to take a break. Snacking is the best, Trolli eggs and ice cream are my go to. Strategic power naps can save a day. When things really start kicking into maximum overdrive, nothing is more relaxing than cleaning the house""ìClorox wipes are honestly holy.""ù -Jasper Tung, Third Year, Psychological and Brain Sciences MajorPhoto by Will Tran, Daily Nexus Though finals are far away midterms are starting to roll around the corner. Remember keep your health in mind! Have a good day, see y'all around campus.
"
photo,In Photos: UCSB PRIDE Drag Show ft. Trixie Mattel,18-Apr-18,12:15 AM,['Daily Nexus Photography'],https://dailynexus.com/2018-04-18/in-photos-ucsb-pride-drag-show-ft-trixie-mattel/,"The Associated Students Queer Commission hosted this year's Pride Week at UC Santa Barbara which included a drag show at Campbell Hall. Below our photographer captured some of the scenes, including† the winner of ""RuPaul's Drag Race""ù in 2018, Trixie Mattel. Photos by Daily Nexus photographer Lianna Nakashima. One drag queen embodied Beyonce's fierceness. † Honoring Lady Gaga's song ""Marry The Night,""ù this drag queen changed from a wedding dress to a punk outfit underneath. † From make-up to outfit, this drag queen honored Halloween with an electric green wig and sexy leotard. † The drag queens invited audience members to enjoy their essence up close and personal. † With the room heating up, one drag queen decided to strip down to a corset. † Drag queen decked in jewels and fabrics. † Trixie Mattel, winner of the seventh season of RuPaul's Drag Race in 2018, was well-loved by the crowd for her hilarious jokes and riffs on popular songs. † At the end of the drag show, all of the kings and queens took their last bow together.
Print At the end of the drag show, all of the kings and queens took their last bow together. what the fuck 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
photo,In Photos: A.S. Elections 2018,26-Apr-18,10:50 PM,['Jose Ochoa'],https://dailynexus.com/2018-04-26/in-photos-a-s-elections-2018/,"This year's Associated Students election saw tears of joy and of disappointment. Relive the night below: 






				The Isla Vista Party won three of the five Associated Students executive seats. Jose Ochoa / Daily Nexus
				




				Jose Ochoa / Daily Nexus
				




				Jose Ochoa / Daily Nexus
				




				Campus United won one of five executive seats with Brooke Kopel becoming Associated Students president. Jose Ochoa / Daily Nexus
				




				Grecia Martinez, an independent candidate, is the new Associated Students Student Advocate General. Jose Ochoa / Daily Nexus
				




				Mayela Morales, with Isla Vista Party, is the new Associated Students external vice president for statewide affairs. Jose Ochoa / Daily Nexus
				




				Morales smiles as the final results roll in. Jose Ochoa / Daily Nexus
				




				Steven Ho celebrates his win. Ho will be next year's Associated Students internal vice president. Jose Ochoa / Daily Nexus
				




				Ho celebrates his win with fellow Isla Vista Party members. Jose Ochoa / Daily Nexus
				




				Brooke Kopel, with Campus United, is the new Associated Students president. Jose Ochoa / Daily Nexus
				



"
photo,Campus Comment: Santa Barbara Weather Galore,30-Apr-18,7:04 PM,['Daily Nexus Photography'],https://dailynexus.com/2018-04-30/campus-comment-santa-barbara-weather-galore/,"This year, the UC Santa Barbara campus has been hit by myriad of weather phenomena. From ashes to heavy rain, it seems like the only thing that hasn't fallen from the sky is hail (knock on wood). Here are some student testimonials on the ever-changing weather of Santa Barbara. ""I wasn't exactly prepared for the cold. I know coming in as a freshmen, it was a beach town so it would be colder than where I'm from. This cold was unexpected, and it's hard to bike in the wind. I think that everyone on campus is lost with new year ""òbrightness.' Like for example, now that everyone's found who they're living with next year, they're not as open to making new friends as before, which is definitely natural. But I guess it's just sad to see that people are not as open to making new connections. In the end, though, I got my friends and they got me so everything will be alright,""ù Jessica Ko, first-year.Kaitlyn Nguyen / Daily Nexus † ""Well, the cold is so unpredictable these days; like, I left all of my winter stuff back at home because I said to myself, ""òYou know what? The cold in SB is nonexistent.' I'm from NorCal where the cold is everywhere, and all of a sudden this quarter it just hit us. Midterms are just midterms: You gotta power through, [and there] really isn't much you can do about it. I just hope for the best, you know? It's kind of a wing-it type of thing. I don't even have a study schedule; I'm not really that organized. But hey, I'll figure my life out with my whole schedule and everything""ù -Kisakwi Naiga, first-year.Kaitlyn Nguyen / Daily Nexus ""So the weather change from sunny skies to this winter-esque is absolutely terrible. Thank you, Santa Barbara, I brought all of my summer clothes: I brought my rompers, shorts and we're out here freezing, and it's a mess, and the bike rides to campus when you have an 8 a.m. in the cold are really building character because it's a true struggle. I'm defeated,""ù Mia Salas, first-year.Kaitlyn Nguyen / Daily Nexus † ""I'm from the Bay Area, so the weather feels similar to back home, so it's kind of comforting in a way. The wind is crazy, though, and it's very irritating, especially bike riding. I feel like I'm going to fall off my bike in this wind, but I just throw on some jackets and push through it!""ù Jacqui Decareau, first-year.Andrea Verdugo / Daily Nexus
Print ""I'm from the Bay Area, so the weather feels similar to back home, so it's kind of comforting in a way. The wind is crazy, though, and it's very irritating, especially bike riding. I feel like I'm going to fall off my bike in this wind, but I just throw on some jackets and push through it!""ù Jacqui Decareau, first-year.Andrea Verdugo / Daily Nexus Comments are closed. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
photo,"In Photos: The Edible Campus Program, featuring Jack Johnson & Henry Yang",10-Oct-18,10:34 PM,['Daily Nexus Photography'],https://dailynexus.com/2018-10-10/in-photos-the-edible-campus-program-featuring-jack-johnson-henry-yang/,"The Edible Campus Program, under UCSB Sustainability, celebrated today the groundbreaking of their new community field ""ì The†UCSB Edible Campus Program Student Farm.† UCSB alumni Jack & Kim Johnson, along with Henry Yang and many other community members in support of this effort, helped usher in the celebration. You can learn more about UCSB's Edible Campus Program at their website:†http://www.sustainability.ucsb.edu/ediblecampus/ Photos by Nicole Wallace/Daily Nexus  Lol, let's pose with shovels 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
photo,"In Photos | Dog Therapy Day: Stay ""Pawsitive""ù",29-Nov-18,5:59 PM,['Daily Nexus Photography'],https://dailynexus.com/2018-11-29/in-photos-dog-therapy-day-stay-pawsitive/,"Students flocked to the Student Resource Building on Wednesday afternoon for Dog Therapy Day, with the line to get into the event wrapped almost all the way around the building.† Check out all the photos below: Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Siavash Ghadiri / Daily Nexus Photos by Siavash Ghadiri, Daily Nexus Photo Editor
"
photo,In Photos | College Cup Comes to UC Santa Barbara,11-Dec-18,3:22 PM,['Daily Nexus Photography'],https://dailynexus.com/2018-12-11/in-photos-college-cup-comes-to-uc-santa-barbara/,"Thousands of fans poured into Harder Stadium to watch a new NCAA men's soccer champion be crowned this past weekend. Check out the photos below: Comments are closed. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
photo,In Photos | Blue-Green Rivalry Renewed at the Thunderdome,10-Jan-19,3:09 AM,['Daily Nexus Photography'],https://dailynexus.com/2019-01-10/in-photos-blue-green-rivalry-renewed-at-the-thunderdome/,"In front of its best crowd of the season with over 4,800 people in attendance, the UCSB men's basketball team was able to hold off its bitter green rival, Cal Poly, and improve to 12-3 on the year and it also picked up its first Big West win of the season : This slideshow requires JavaScript. Comments are closed. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
