Section,Title,Date,Time,Authors,URL,Content
video,"The Theater and Dance Department introduces ""Seagull""ù",17-Nov-21,7:29 PM,['Juliana Zappitell'],https://dailynexus.com/2021-11-17/the-theater-department-introduces-seagull/," Filmed and Edited by: Juliana Zappitell, Charlotte Ege, and Travers Tobis
"
video,Fashion Show with Artsweek,10-Apr-22,3:19 PM,"['Juliana Zappitell', 'Joseph Chiaro']",https://dailynexus.com/2022-04-10/fashion-show-with-artsweek/," Join Artsweek Editor Marisol Cruz as she walks around campus asking students about where their outfits are from and what they consider their aesthetic to be!
"
video,"Daily Nexus News Recap ""ì Spring 2024 Week 5",4-Jul-24,3:09 PM,['Oli Thacher'],https://dailynexus.com/2024-07-04/daily-nexus-news-recap-week-5-spring-2024/," Filmed & Edited by Oliver Thacher
Print  Œî  Œî 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
video,Rockfire Grill Waffle Shack Taste Test,15-Oct-20,11:10 AM,['Harvest Keeney'],https://dailynexus.com/2020-10-15/rockfire-grill-waffle-shack-taste-test/,"On The Menu writer, Liliana Linan visits Rockfire Grill to try out their new breakfast menu. 
"
video,Somewhere in Between: Banking off of Bikes,25-Apr-18,10:57 AM,['Red Chua'],https://dailynexus.com/2018-04-25/somewhere-in-between-banking-off-of-bikes/," Meet Phillip Thomas: a touring-musician-turned-Isla-Vista-business-owner who wants nothing more than to sell bikes and promote bicycle safety.
Print Phillip is the man. He wants nothing but the best for UCSB students. Much respect for this guy. Anyone and everyone should go to the IV Community Bike Center to support Phillip and the immediate community. 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
video,"Daily Nexus News Recap ""ì Winter 2024 Week 2",2-Feb-24,12:55 PM,['Citlali Ibarra'],https://dailynexus.com/2024-02-02/daily-nexus-news-recap-winter-2024-week-2/,"
Print  Œî  Œî 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
video,Daily Nexus News Recap- Winter 2024 Week 3,2-Feb-24,12:58 PM,['Citlali Ibarra'],https://dailynexus.com/2024-02-02/daily-nexus-news-recap-winter-2024-week-3/,"
Print  Œî  Œî 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
video,Daily Nexus News Recap#4- Winter 2023 Week 5,13-Feb-23,9:00 AM,['Joshua Yepez Martinez'],https://dailynexus.com/2023-02-13/daily-nexus-news-recap4-winter-2023-week-5/," Join us for this week's news recap for week 5 of the winter 2023 quarter. Filmed by Alejandro A. Sanchez
"
video,UCSB Amplify Play Festival,26-Apr-23,3:40 PM,['Joshua Yepez Martinez'],https://dailynexus.com/2023-04-26/ucsb-amplify-play-festival/,"
"
video,"Students, Santa Barbarans, Local Politicians Participate in Women's March for Reproductive Rights",7-Oct-21,12:11 PM,"['Atmika Iyer', 'Holly Rusch']",https://dailynexus.com/2021-10-07/students-santa-barbarans-local-politicians-participate-in-womens-march-for-reproductive-rights/,"Thousands of people across the country marched on Oct. 2 to advocate for reproductive rights, following a Texas law that restricts abortion access. The local marches ""î†organized by the Women's March organization ""î†took place in downtown Santa Barbara and Santa Maria. UC Santa Barbara students primarily attended the march in downtown Santa Barbara.†  Students, county residents and local politicians all gathered at De La Guerra Plaza at noon prior to the march. World Dance for Humanity danced to various famous anthems of female empowerment, including Aretha Franklin's ""Respect""ù and Meghan Trainor's ""Woman Up.""ù Atmika Iyer / Daily Nexus After the dancers dispersed, local advocates spoke to the crowd about the importance of reproductive rights. Speakers included Annette Cordero of the Coastal Band of the Chumash Nation, State Senator Monique Lim√≥n, Central Coast Planned Parenthood CEO Jenna Tosh and former State Senator Hannah-Beth Jackson.† Cordero stood in front of the crowd alongside her family members and other members of the Coastal Band and discussed the importance of inclusivity and addressing intersectionality within advocacy for reproductive rights.† Atmika Iyer / Daily Nexus ""We want to make sure that we are inclusive, that we include queer [people], the whole gambit of LGBTQIA[+]. In our tradition, two-spirited people were usually honored and considered highly respected members of our community, so we also want to make sure that we honor two-spirited people,""ù Cordero said.† Cordero's niece Kelly added to the discussion of inclusivity and intersectionality within advocacy for reproductive rights.† ""Not all people with uteruses are women,""ù Kelly said. ""Not all pussies are pink either. We're here in solidarity because they're trying to take control of us, and it's not going to happen.""ù† Lim√≥n's speech discussed the impact of the new Texas law on the residents of the state. Lim√≥n shared the story of a pregnant woman whose child has anencephaly ""î a fatal condition where the child is missing parts of its brain. The mother was unable to get an abortion in Texas and had to fly out of state, NPR reported.† Pia Ramos / Daily Nexus ""We know for a fact that [the new Texas law] will not reduce abortions, that this will reduce safe abortions and require women to seek unsafe alternatives,""ù Lim√≥n said. ""This is the reality of what is at stake.""ù† Lim√≥n added that in 2021, ""over 600 laws restricting abortions have been introduced in this country.""ù† Tosh followed Lim√≥n's speech, highlighting the various laws and restrictions on abortion throughout the country.† Atmika Iyer / Daily Nexus ""Roe v. Wade is hanging on by a thread. Abortion is effectively illegal in a U.S. state for the first time since 1973. In December, the Supreme Court will hear a direct attempt to overturn Roe v. Wade,""ù Tosh said. ""If they do overturn it, 26 states will likely ban abortion before the end of next year. These states are home to 36 million women of reproductive age and even more trans men and gender nonconforming and nonbinary people who stand to lose their constitutional right to a safe and legal abortion.""ù† ""Nearly half of U.S. people who can become pregnant could lose their reproductive rights overnight,""ù Tosh continued.† Next was Jackson, who discussed the Supreme Court's regard for stare decisis ""î†a legal doctrine requiring courts to abide by the precedent set by previous cases. In this situation, the set precedent would be from Roe v. Wade.† Atmika Iyer / Daily Nexus ""So what do we do? We have a Supreme Court now that has disrespected the notion of what they call stare decisis ""î†accepting the laws that existed. We knew this was going to happen,""ù Jackson said. ""The senate at the time allowed sexual harassers on the court, they allowed people who have lied and committed perjury in their hearings saying they would honor stare decisis and they have not. We need to take action.""ù† After all the speeches, the marchers, including UCSB students, took to State Street ""î†chanting and marching to the end of Anapamu Street right by the Santa Barbara County Administration Building.† ""I've been studying history a lot, especially repressed and totalitarian environments. And I don't want to live in one, to be honest,""ù said first-year economics major and march attendee Dexter Laviolette. ""I think we should do everything we can to make sure we preserve our freedoms and rights, whether they're legal or not.""ù ""We should remember that everything the government does anywhere is with the consent of the governed,""ù he continued. ""As long as we stay conscious and do not give them our consent, they cannot do anything we don't want them to.""ù Carly Lankarani, a first-year history of art and architecture major who attended the march with LaViolette, concurred that students and community members alike should remain aware of current events and advocate for women's rights.† ""I'm just staying aware of current issues. Do your part, if you're able to, go out and vote; if not, pre-register to vote, just pay attention to politics, do what you can on campus, or even, like, your local community, make sure the word gets out,""ù she said.† ""Women's rights are human rights. Don't forget it.""ù† In an interview with the Nexus, Lim√≥n congratulated high school- and college-aged marchers for being civically engaged and fighting for their rights.† ""Kudos, kudos for caring about your rights now, whether you can vote or not. It's about caring, and ensuring that your voice ""î†because you're the next generation of leaders ""î†is represented at the table,""ù Lim√≥n said. ""So thank you to all of the women ""î†young and older and everything in between ""î who have showed up [and] to the allies because it's about showing that this community is backing reproductive health choices.""ù † A version of this article appeared on p. 5 of the Oct. 7, 2021 print edition of the Daily Nexus. Correction [10/07/21 5:12 pm]: A previous version of this article that appeared in print incorrectly spelled UCSB student Carly Lankarani's last name as ""òLinkrani' and did not capitalize the ""òV' in UCSB student Dexter LaViolette's last name. The article has since been corrected to reflect the†correct name spellings.† This slideshow requires JavaScript.
Print This slideshow requires JavaScript. Pooped myself good, this time (left turds üí©) 
            Choked by their cap tassel during a graduation photoshoot           
            Accidentally daps the Chancellor up as they receive their diploma           
            Decided to skip commencement to go day drink on Del Playa           
            Ugly crying so hard they drown out ""Pomp and Circumstance""           
            Posing on stage like there's a model scout in the audience (there was)           
            Can't make it up the steps due to the sheer amount of cords, stoles, and leis           
            Couldn't decide on a grad dress so they showed up in pajamas under their gown           
            Showed up to commencement high and suffering from horrendous munchies           
            Somehow juggling the 15 ceremonies required for their triple major           
            Graduated with a 5 year plan, chronic anxiety, and a great internship           
            Reading Kafka in the audience in hopes of an honorary English degree           
            had their graduation photos taken in the lagoon to be different          "
